id,text,top_label,mid_label,fine_label
0,커피전문점 로스터리101 센트럴점,0,0,0
1,(주)아띠-카페_신도시점,0,0,0
2,(주)봄날-아메리카노_강남점,0,0,0
3,(주)커피온-커피전문점_서울역점,0,0,0
4,(주)달빛-라떼하우스_2호점,0,0,0
5,(주)커피온-디저트카페_서울역점,0,0,0
6,블루문커피전문점본점,0,0,0
7,달빛 커피전문점 2호점,0,0,0
8,coffee 라온 동탄점,0,0,0
9,라떼하우스 블루문 본점,0,0,0
10,로스터리101CAFE센트럴점,0,0,0
11,블루문coffee본점,0,0,0
12,로스터리101라떼하우스센트럴점,0,0,0
13,라온카페동탄점,0,0,0
14,커피온 CAFE 서울역점,0,0,0
15,디저트카페 빈스 24H,0,0,0
16,라온라떼하우스동탄점,0,0,0
17,모닝빈디저트카페홍대점,0,0,0
18,(주)카페드림-coffee_역삼점,0,0,0
19,(주)달빛-CAFE_2호점,0,0,0
20,행복식당국밥센트럴점,0,1,1
21,한정식 시골밥상 홍대점,0,1,1
22,맛고을된장찌개본점,0,1,1
23,불고기 서울뚝배기 24H,0,1,1
24,(주)푸른마을-된장찌개_역삼점,0,1,1
25,한식 서울뚝배기 24H,0,1,1
26,엄마손 김치찌개 2호점,0,1,1
27,서울뚝배기백반24H,0,1,1
28,(주)엄마손-한정식_2호점,0,1,1
29,(주)고향집-백반_강남점,0,1,1
30,(주)우리식당-불고기_서울역점,0,1,1
31,푸른마을 국밥 역삼점,0,1,1
32,고향집 불고기 강남점,0,1,1
33,맛고을김치찌개본점,0,1,1
34,푸른마을 한식 역삼점,0,1,1
35,시골밥상불고기홍대점,0,1,1
36,우리식당 한정식 서울역점,0,1,1
37,고향집 한식 강남점,0,1,1
38,국밥 맛고을 본점,0,1,1
39,김치찌개 행복식당 센트럴점,0,1,1
40,365생활편의점동탄점,1,2,2
41,24시마트 행복 센트럴점,1,2,2
42,미니 편의점 역삼점,1,2,2
43,(주)새벽-편의점_신도시점,1,2,2
44,행복생활편의점센트럴점,1,2,2
45,convenience 올데이 24H,1,2,2
46,(주)우리동네-GS25스타일_2호점,1,2,2
47,생활편의점 프레시 본점,1,2,2
48,365편의점동탄점,1,2,2
49,(주)나이스-convenience_서울역점,1,2,2
50,(주)스마일-도시락편의점_강남점,1,2,2
51,새벽 CU스타일 신도시점,1,2,2
52,CU스타일 365 동탄점,1,2,2
53,미니 생활편의점 역삼점,1,2,2
54,GS25스타일 굿데이 홍대점,1,2,2
55,새벽 도시락편의점 신도시점,1,2,2
56,(주)미니-CU스타일_역삼점,1,2,2
57,스마일 convenience 강남점,1,2,2
58,프레시CU스타일본점,1,2,2
59,(주)나이스-24시마트_서울역점,1,2,2
60,(주)중앙-약국_신도시점,2,3,3
61,푸른 메디약국 서울역점,2,3,3
62,(주)푸른-처방전조제_서울역점,2,3,3
63,약국 참좋은 24H,2,3,3
64,새봄 처방전조제 2호점,2,3,3
65,우리처방전조제본점,2,3,3
66,(주)푸른-pharmacy_서울역점,2,3,3
67,중앙 24H약국 신도시점,2,3,3
68,온누리약국동탄점,2,3,3
69,온누리건강약국동탄점,2,3,3
70,건강 pharmacy 강남점,2,3,3
71,처방전조제 메디컬 센트럴점,2,3,3
72,메디약국 행복 홍대점,2,3,3
73,24H약국 온누리 동탄점,2,3,3
74,튼튼 약국 역삼점,2,3,3
75,참좋은의약품24H,2,3,3
76,(주)튼튼-24H약국_역삼점,2,3,3
77,중앙 의약품 신도시점,2,3,3
78,의약품 행복 홍대점,2,3,3
79,(주)새봄-건강약국_2호점,2,3,3
80,(주)옷장-캐주얼웨어_서울역점,1,4,4
81,여성복 더핏 센트럴점,1,4,4
82,블랑캐주얼웨어홍대점,1,4,4
83,남성복 블랑 홍대점,1,4,4
84,(주)어반-의류_신도시점,1,4,4
85,더핏옷가게센트럴점,1,4,4
86,옷가게 블랑 홍대점,1,4,4
87,(주)데일리룩-패션_2호점,1,4,4
88,루나 패션 역삼점,1,4,4
89,패션 패션하우스 본점,1,4,4
90,FASHION 모던핏 동탄점,1,4,4
91,모던핏의류동탄점,1,4,4
92,(주)스타일온-남성복_강남점,1,4,4
93,패션하우스여성복본점,1,4,4
94,캐주얼웨어 시크 24H,1,4,4
95,더핏패션센트럴점,1,4,4
96,스타일온 의류 강남점,1,4,4
97,(주)옷장-여성복_서울역점,1,4,4
98,시크남성복24H,1,4,4
99,어반 남성복 신도시점,1,4,4
